,Xe,Ye,labels
127,-73.990759,40.7609926,2
128,-73.8525973,40.7080347,1
129,-73.9129533,40.8142683,4
130,-73.7922882,40.7526127,3
131,-73.9092172,40.8518022,4
132,-73.9940342,40.6678494,0
133,-73.9285998,40.6659692,0
134,-73.9620415,40.6186183,0
135,-73.8779835,40.8395649,4
136,-73.873013,40.7663521,1
137,-73.9769016,40.6036878,0
138,-74.0029374,40.6588768,0
139,-73.8280091,40.6940516,3
140,-73.9624487,40.6631828,0
141,-73.8116913,40.6876692,3
142,-73.9977202,40.715356,2
143,-73.7420127,40.7072992,3
144,-73.9730215,40.5985185,0
145,-73.7888539,40.6825847,3
146,-73.8908669,40.7011029,1
147,-73.9450059,40.7079101,2
148,-73.8983008,40.6367364,0
149,-73.8531341,40.8949212,4
150,-73.9103518,40.8199479,4
151,-73.9991446,40.754584,2
152,-74.0071393,40.7538318,2
153,-74.0241544,40.6257805,0
154,-73.9903644,40.7192038,2
155,-73.8152441,40.7042012,3
156,-74.0833411,40.5755806,5
157,-73.949858,40.64439,0
158,-73.9942669,40.6445352,0
159,-73.9107635,40.6422446,0
160,-73.8823749,40.7289813,1
161,-73.9742167,40.5901115,0
162,-73.8974917,40.8420678,4
163,-73.9100022,40.6483539,0
164,-73.9535429,40.8120522,4
165,-73.9261433,40.8336278,4
166,-73.7611864,40.7134368,3
167,-73.8094845,40.7684769,1
168,-73.824216,40.6692276,3
169,-74.0055932,40.7381374,2
170,-73.9881767,40.7482897,2
171,-73.8285119,40.6892381,3
172,-73.9515055,40.8120074,4
173,-73.840351,40.7249673,1
174,-73.8977031,40.8456416,4
175,-73.9123973,40.6163899,0
176,-73.9985947,40.6425838,0
177,-73.8492907,40.5799915,0
178,-73.9010925,40.812181,4
179,-73.9514952,40.5882789,0
180,-73.8481873,40.6869052,1
181,-73.810322,40.6670811,3
182,-73.9843735,40.6835431,2
183,-73.9486777,40.8156923,4
184,-74.0275073,40.6321559,0
185,-73.8555803,40.7379289,1
186,-73.9856988,40.673975,0
187,-73.9765674,40.6219955,0
188,-73.9990364,40.749638,2
189,-73.8419873,40.695219,1
190,-73.8613162,40.671142,1
191,-73.9141134,40.6963988,1
192,-73.9799897,40.7175391,2
193,-73.8265417,40.7604644,1
194,-73.7932361,40.770469,3
195,-74.0083695,40.6052187,0
196,-74.0096671,40.7127234,2
197,-73.801159,40.7274946,3
198,-73.9834445,40.7220191,2
199,-73.942558,40.5935887,0
200,-73.882203,40.6853613,1
201,-73.9169189,40.8383342,4
202,-73.968775,40.5928687,0
203,-73.9707939,40.603519,0
204,-73.9385688,40.6988491,2
205,-73.7921066,40.6870481,3
206,-73.9533075,40.6585133,0
207,-73.831722,40.6860506,3
208,-73.8857889,40.7474405,1
209,-73.8101829,40.7007703,3
210,-73.8889763,40.7492579,1
211,-73.9167618,40.8165575,4
212,-73.827064,40.7025151,3
213,-73.9390758,40.6728262,0
214,-73.7597173,40.6686828,3
215,-73.9370159,40.6323121,0
216,-73.808896,40.7105999,3
217,-73.9370755,40.6646429,0
218,-73.8550641,40.6849433,1
219,-73.8678194,40.8585032,4
220,-73.8877892,40.8476168,4
221,-73.8350092,40.8381061,4
222,-73.9556973,40.7070418,2
223,-73.9699667,40.6091511,0
224,-73.9010217,40.8476674,4
225,-74.1373916,40.549593,5
226,-73.9472242,40.8308453,4
227,-73.9244048,40.5921838,0
228,-73.7137011,40.7361595,3
229,-73.9281084,40.8309969,4
230,-73.8464626,40.6873915,1
231,-73.8299221,40.8347557,4
232,-73.8776389,40.6811159,1
233,-73.8191619,40.6918944,3
234,-73.9769717,40.6509669,0
235,-73.7535377,40.6045677,3
236,-73.983365,40.7660449,2
237,-74.1666165,40.5507016,5
238,-73.9926041,40.7241363,2
239,-73.7718954,40.7653207,3
240,-73.7746985,40.6804855,3
241,-73.8935477,40.6552018,0
242,-73.8975005,40.7542804,1
243,-73.8045285,40.7214619,3
244,-74.2511652,40.5077835,5
245,-73.8652504,40.7472124,1
246,-73.9004277,40.8291511,4
247,-73.7830252,40.7331298,3
248,-73.8985392,40.9064593,4
249,-73.9602427,40.6572314,0
250,-73.9610281,40.5961601,0
251,-74.0170205,40.6076551,0
252,-73.7930302,40.7577549,3
253,-73.9130382,40.7133332,1
254,-73.7579368,40.6984023,3
255,-73.9804246,40.7598989,2
256,-73.7440177,40.6980181,3
257,-73.7897299,40.683783,3
258,-73.9436244,40.8103186,4
259,-73.7988972,40.6747663,3
260,-73.9648018,40.7599831,2
261,-73.7812662,40.6655171,3
262,-73.987748,40.7440655,2
263,-73.9374202,40.8043758,4
264,-73.8514458,40.6874117,1
265,-73.9564383,40.7431796,2
266,-74.0039544,40.7298565,2
267,-73.9575338,40.7116098,2
268,-74.1332986,40.5649742,5
269,-73.9504063,40.7066527,2
270,-73.9794708,40.7274668,2
271,-73.7139635,40.733882,3
272,-73.8716306,40.7306332,1
273,-73.8769367,40.713863,1
274,-73.9127392,40.8618642,4
275,-73.9480999,40.824563,4
276,-73.8500701,40.6898418,1
277,-73.9254873,40.8417709,4
278,-73.8106009,40.6996017,3
279,-73.9981373,40.7649043,2
280,-74.0006602,40.72084,2
281,-73.8371456,40.7079562,1
282,-73.8508783,40.6912455,1
